mean_intensity,std_intensity,mean_r,mean_g,mean_b,std_r,std_g,std_b
0.37781694531440735,0.09166483581066132,0.37777093052864075,0.37777093052864075,0.37777093052864075,0.09164991974830627,0.09164991974830627,0.09164991974830627
0.11599603295326233,0.09703487157821655,0.11577814817428589,0.11577814817428589,0.11577814817428589,0.09702464193105698,0.09702464193105698,0.09702464193105698
0.2534574568271637,0.06648705899715424,0.2533243000507355,0.2533243000507355,0.2533243000507355,0.06647711247205734,0.06647711247205734,0.06647711247205734
0.36734795570373535,0.18401680886745453,0.367140531539917,0.367140531539917,0.367140531539917,0.18402999639511108,0.18402999639511108,0.18402999639511108
0.12329817563295364,0.05200951546430588,0.12297382205724716,0.12297382205724716,0.12297382205724716,0.05200366675853729,0.05200366675853729,0.05200366675853729
0.3248366713523865,0.1617368906736374,0.3247447609901428,0.3247447609901428,0.3247447609901428,0.1617533266544342,0.1617533266544342,0.1617533266544342
0.4306950271129608,0.1966896653175354,0.4306310713291168,0.4306310713291168,0.4306310713291168,0.19664844870567322,0.19664844870567322,0.19664844870567322
0.32374754548072815,0.08411657810211182,0.3236786127090454,0.3236786127090454,0.3236786127090454,0.08413060009479523,0.08413060009479523,0.08413060009479523
0.2821519076824188,0.17440496385097504,0.28216561675071716,0.28216561675071716,0.28216561675071716,0.17440904676914215,0.17440904676914215,0.17440904676914215
0.3403533399105072,0.15402808785438538,0.34030982851982117,0.34030982851982117,0.34030982851982117,0.15402460098266602,0.15402460098266602,0.15402460098266602
0.2620188295841217,0.13162754476070404,0.26199284195899963,0.26199284195899963,0.26199284195899963,0.13159970939159393,0.13159970939159393,0.13159970939159393
0.8358120918273926,0.1912141740322113,0.8354583978652954,0.8354583978652954,0.8354583978652954,0.19125996530056,0.19125996530056,0.19125996530056
0.4899587035179138,0.16361883282661438,0.4896833300590515,0.4896833300590515,0.4896833300590515,0.16360695660114288,0.16360695660114288,0.16360695660114288
0.23507006466388702,0.25725099444389343,0.23525477945804596,0.23525477945804596,0.23525477945804596,0.25723567605018616,0.25723567605018616,0.25723567605018616
0.11647463589906693,0.16657404601573944,0.11637874692678452,0.11637874692678452,0.11637874692678452,0.16658876836299896,0.16658876836299896,0.16658876836299896
0.49768829345703125,0.2028254270553589,0.49756503105163574,0.49756503105163574,0.49756503105163574,0.2028053104877472,0.2028053104877472,0.2028053104877472
0.4657387435436249,0.13194911181926727,0.4655943214893341,0.4655943214893341,0.4655943214893341,0.13194257020950317,0.13194257020950317,0.13194257020950317
0.3007100522518158,0.08900657296180725,0.30073603987693787,0.30073603987693787,0.30073603987693787,0.08901210874319077,0.08901210874319077,0.08901210874319077
0.385511577129364,0.09757091850042343,0.3854304850101471,0.3854304850101471,0.3854304850101471,0.09756462275981903,0.09756462275981903,0.09756462275981903
0.23614853620529175,0.09383898973464966,0.2361750602722168,0.2361750602722168,0.2361750602722168,0.09382802248001099,0.09382802248001099,0.09382802248001099
0.4783894419670105,0.16661879420280457,0.4782787263393402,0.4782787263393402,0.4782787263393402,0.16660724580287933,0.16660724580287933,0.16660724580287933
0.18570640683174133,0.16374287009239197,0.18560214340686798,0.18560214340686798,0.18560214340686798,0.16380907595157623,0.16380907595157623,0.16380907595157623
0.40848079323768616,0.09525647014379501,0.4083501398563385,0.4083501398563385,0.4083501398563385,0.09522620588541031,0.09522620588541031,0.09522620588541031
